Census Tract,American Indian And Alaska Native Alone,Asian Alone,Black Or African American Alone,Hispanic Or Latino,Native Hawaiian And Other Pacific Islander Alone,Some Other Race Alone,Two Or More Races,White Alone,"White Alone, Not Hispanic Or Latino"
41067030101,NaN%,0.0%,NaN%,NaN%,NaN%,NaN%,0.0%,0.0%,0.0%
41067030102,NaN%,0.0%,NaN%,0.0%,NaN%,NaN%,0.0%,0.0%,0.0%
41067030200,NaN%,NaN%,NaN%,0.0%,NaN%,0.0%,0.0%,0.0%,0.0%
41067030300,NaN%,NaN%,NaN%,0.0%,0.0%,NaN%,0.0%,0.0%,0.0%
41067030401,0.0%,NaN%,0.0%,0.0%,NaN%,NaN%,NaN%,12.2%,12.2%
41067030402,NaN%,0.0%,NaN%,NaN%,NaN%,NaN%,0.0%,0.0%,0.0%
41067030501,NaN%,NaN%,NaN%,50.4%,NaN%,100.0%,NaN%,0.0%,0.0%
41067030502,NaN%,NaN%,NaN%,100.0%,NaN%,NaN%,0.0%,2.1%,0.0%
41067030600,NaN%,NaN%,NaN%,0.0%,NaN%,NaN%,0.0%,0.0%,0.0%
41067030700,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,80.0%,80.0%
41067030801,0.0%,NaN%,100.0%,0.0%,NaN%,NaN%,0.0%,3.9%,6.0%
41067030803,NaN%,NaN%,0.0%,0.0%,100.0%,NaN%,0.0%,0.0%,0.0%
41067030805,NaN%,0.0%,NaN%,0.0%,NaN%,NaN%,38.1%,0.0%,0.0%
41067030806,0.0%,NaN%,NaN%,0.0%,NaN%,NaN%,0.0%,3.0%,3.4%
41067030900,100.0%,NaN%,0.0%,65.2%,NaN%,NaN%,NaN%,20.2%,0.0%
41067031003,NaN%,NaN%,NaN%,100.0%,NaN%,NaN%,30.3%,20.5%,6.9%
41067031004,NaN%,NaN%,0.0%,NaN%,NaN%,NaN%,50.0%,0.0%,0.0%
41067031005,NaN%,100.0%,NaN%,94.1%,NaN%,100.0%,NaN%,33.2%,0.0%
41067031006,100.0%,100.0%,NaN%,70.5%,NaN%,NaN%,26.4%,25.1%,12.1%
41067031100,NaN%,NaN%,NaN%,24.8%,NaN%,77.8%,0.0%,15.8%,29.5%
41067031200,NaN%,NaN%,NaN%,75.5%,NaN%,73.4%,0.0%,50.0%,19.2%
41067031300,NaN%,NaN%,NaN%,45.8%,NaN%,0.0%,0.0%,32.0%,0.0%
41067031402,NaN%,0.0%,NaN%,67.3%,NaN%,0.0%,0.0%,21.3%,0.0%
41067031403,NaN%,0.0%,NaN%,32.5%,NaN%,42.4%,37.5%,13.7%,15.3%
41067031404,NaN%,0.0%,NaN%,51.2%,NaN%,NaN%,0.0%,19.7%,13.6%
41067031504,NaN%,0.0%,NaN%,0.0%,NaN%,NaN%,0.0%,0.0%,0.0%
41067031506,NaN%,0.0%,NaN%,0.0%,NaN%,NaN%,0.0%,0.0%,0.0%
41067031507,NaN%,0.0%,NaN%,0.0%,NaN%,NaN%,0.0%,29.2%,32.0%
41067031508,NaN%,0.0%,0.0%,NaN%,NaN%,NaN%,0.0%,0.0%,0.0%
41067031509,NaN%,0.0%,NaN%,0.0%,NaN%,NaN%,0.0%,0.0%,0.0%
41067031511,NaN%,0.0%,NaN%,0.0%,NaN%,NaN%,NaN%,0.0%,0.0%
41067031512,NaN%,0.0%,0.0%,0.0%,NaN%,NaN%,0.0%,4.4%,4.9%
41067031513,NaN%,0.0%,NaN%,0.0%,NaN%,0.0%,50.4%,0.0%,0.0%
41067031514,NaN%,0.0%,NaN%,0.0%,NaN%,NaN%,41.4%,0.0%,0.0%
41067031606,NaN%,0.0%,46.7%,41.9%,NaN%,10.0%,55.4%,30.9%,0.0%
41067031609,44.8%,48.6%,0.0%,5.0%,NaN%,0.0%,0.0%,3.8%,6.2%
41067031610,NaN%,0.0%,0.0%,66.0%,NaN%,0.0%,0.0%,38.4%,0.0%
41067031611,NaN%,0.0%,NaN%,NaN%,NaN%,NaN%,0.0%,0.0%,0.0%
41067031612,0.0%,0.0%,0.0%,32.2%,NaN%,NaN%,0.0%,35.6%,35.3%
41067031613,NaN%,28.2%,NaN%,9.6%,0.0%,12.7%,63.0%,0.0%,0.0%
41067031614,NaN%,0.0%,NaN%,0.0%,0.0%,0.0%,26.1%,0.0%,0.0%
41067031615,NaN%,0.0%,0.0%,70.5%,NaN%,100.0%,94.1%,41.5%,46.6%
41067031616,NaN%,0.0%,NaN%,0.0%,NaN%,0.0%,0.0%,0.0%,0.0%
