Census Tract,Children 5-17
41067030101,872
41067030102,1093
41067030200,1083
41067030300,798
41067030401,678
41067030402,515
41067030501,545
41067030502,427
41067030600,649
41067030700,174
41067030801,925
41067030803,669
41067030805,457
41067030806,540
41067030900,730
41067031003,1297
41067031004,1182
41067031005,1100
41067031006,1024
41067031100,258
41067031200,1595
41067031300,1131
41067031402,458
41067031403,839
41067031404,836
41067031504,919
41067031506,774
41067031507,1244
41067031508,2052
41067031509,852
41067031511,590
41067031512,1787
41067031513,3395
41067031514,1575
41067031606,1384
41067031609,1598
41067031610,1179
41067031611,775
41067031612,743
41067031613,1407
41067031614,1020
41067031615,885
41067031616,274
41067031617,362
41067031703,903
41067031704,1769
41067031705,861
41067031706,1156
41067031804,1351
41067031805,1483
41067031806,995
41067031807,458
41067031812,810
41067031813,1120
41067031814,761
41067031815,1262
41067031904,408
41067031907,863
41067031908,1452
41067031909,1203
41067031910,1847
41067031911,730
41067031912,835
41067032001,560
41067032003,549
41067032004,385
41067032005,946
41067032103,2667
41067032104,1097
41067032107,331
41067032108,749
41067032109,793
41067032110,528
41067032200,1406
41067032300,1317
41067032404,1049
41067032406,1765
41067032407,1177
41067032408,1611
41067032409,1148
41067032410,1089
41067032501,565
41067032502,407
41067032503,819
41067032603,1604
41067032604,774
41067032606,1421
41067032607,216
41067032608,335
41067032609,464
41067032610,604
41067032700,753
41067032800,216
41067032901,1245
41067032902,1736
41067033000,828
41067033101,475
41067033102,580
41067033200,1267
41067033301,1255
41067033302,1107
41067033400,330
41067033500,887
41067033600,329
