Census Tract,Children Living with Single Parent
41067030101,218
41067030102,247
41067030200,158
41067030300,98
41067030401,95
41067030402,94
41067030501,89
41067030502,171
41067030600,91
41067030700,113
41067030801,704
41067030803,332
41067030805,163
41067030806,227
41067030900,339
41067031003,335
41067031004,156
41067031005,545
41067031006,612
41067031100,159
41067031200,738
41067031300,598
41067031402,111
41067031403,405
41067031404,220
41067031504,208
41067031506,216
41067031507,499
41067031508,369
41067031509,169
41067031511,81
41067031512,484
41067031513,599
41067031514,182
41067031606,445
41067031609,738
41067031610,498
41067031611,181
41067031612,316
41067031613,831
41067031614,355
41067031615,574
41067031616,147
41067031617,305
41067031703,381
41067031704,412
41067031705,658
41067031706,489
41067031804,302
41067031805,494
41067031806,317
41067031807,74
41067031812,432
41067031813,281
41067031814,63
41067031815,461
41067031904,162
41067031907,230
41067031908,216
41067031909,279
41067031910,436
41067031911,302
41067031912,241
41067032001,224
41067032003,476
41067032004,146
41067032005,688
41067032103,498
41067032104,292
41067032107,41
41067032108,271
41067032109,72
41067032110,82
41067032200,370
41067032300,368
41067032404,497
41067032406,528
41067032407,258
41067032408,331
41067032409,880
41067032410,184
41067032501,250
41067032502,108
41067032503,290
41067032603,160
41067032604,526
41067032606,532
41067032607,45
41067032608,62
41067032609,89
41067032610,223
41067032700,167
41067032800,52
41067032901,403
41067032902,416
41067033000,290
41067033101,220
41067033102,322
41067033200,255
41067033301,500
41067033302,177
41067033400,93
41067033500,219
41067033600,42
