Census Tract,Under 5 Population
41067030101,285
41067030102,439
41067030200,374
41067030300,153
41067030401,203
41067030402,139
41067030501,255
41067030502,373
41067030600,321
41067030700,35
41067030801,574
41067030803,174
41067030805,252
41067030806,203
41067030900,438
41067031003,343
41067031004,305
41067031005,396
41067031006,500
41067031100,198
41067031200,343
41067031300,482
41067031402,221
41067031403,364
41067031404,267
41067031504,413
41067031506,217
41067031507,357
41067031508,447
41067031509,352
41067031511,146
41067031512,515
41067031513,621
41067031514,452
41067031606,690
41067031609,761
41067031610,333
41067031611,720
41067031612,382
41067031613,580
41067031614,378
41067031615,424
41067031616,226
41067031617,347
41067031703,503
41067031704,728
41067031705,454
41067031706,470
41067031804,264
41067031805,461
41067031806,433
41067031807,163
41067031812,252
41067031813,371
41067031814,217
41067031815,289
41067031904,264
41067031907,269
41067031908,388
41067031909,252
41067031910,502
41067031911,494
41067031912,242
41067032001,295
41067032003,297
41067032004,85
41067032005,370
41067032103,777
41067032104,330
41067032107,151
41067032108,282
41067032109,154
41067032110,122
41067032200,774
41067032300,434
41067032404,384
41067032406,523
41067032407,502
41067032408,639
41067032409,734
41067032410,392
41067032501,234
41067032502,253
41067032503,215
41067032603,478
41067032604,621
41067032606,325
41067032607,100
41067032608,164
41067032609,174
41067032610,234
41067032700,256
41067032800,95
41067032901,411
41067032902,531
41067033000,288
41067033101,233
41067033102,185
41067033200,445
41067033301,527
41067033302,299
41067033400,114
41067033500,248
41067033600,83
