Census Tract,Foreign-Born Population Under 18
41067030101,55
41067030102,100
41067030200,0
41067030300,63
41067030401,0
41067030402,0
41067030501,0
41067030502,16
41067030600,0
41067030700,0
41067030801,12
41067030803,8
41067030805,11
41067030806,37
41067030900,0
41067031003,61
41067031004,0
41067031005,170
41067031006,0
41067031100,21
41067031200,262
41067031300,57
41067031402,59
41067031403,80
41067031404,0
41067031504,56
41067031506,11
41067031507,59
41067031508,317
41067031509,71
41067031511,59
41067031512,176
41067031513,396
41067031514,197
41067031606,33
41067031609,109
41067031610,82
41067031611,215
41067031612,183
41067031613,118
41067031614,57
41067031615,77
41067031616,73
41067031617,96
41067031703,11
41067031704,36
41067031705,158
41067031706,186
41067031804,156
41067031805,16
41067031806,156
41067031807,9
41067031812,46
41067031813,22
41067031814,36
41067031815,68
41067031904,0
41067031907,31
41067031908,224
41067031909,18
41067031910,0
41067031911,97
41067031912,76
41067032001,74
41067032003,3
41067032004,21
41067032005,40
41067032103,73
41067032104,12
41067032107,26
41067032108,0
41067032109,10
41067032110,16
41067032200,20
41067032300,42
41067032404,0
41067032406,27
41067032407,33
41067032408,37
41067032409,17
41067032410,11
41067032501,35
41067032502,0
41067032503,14
41067032603,0
41067032604,47
41067032606,112
41067032607,28
41067032608,29
41067032609,20
41067032610,15
41067032700,19
41067032800,0
41067032901,64
41067032902,184
41067033000,0
41067033101,0
41067033102,65
41067033200,32
41067033301,41
41067033302,28
41067033400,0
41067033500,0
41067033600,0
