Census Tract,Total Population,Under 5 Population,Under 18 Population
41067030101,8118,285,1157
41067030102,6922,439,1532
41067030200,6716,374,1457
41067030300,4595,153,951
41067030401,4867,203,881
41067030402,5083,139,654
41067030501,4862,255,800
41067030502,4066,373,800
41067030600,5592,321,970
41067030700,1326,35,209
41067030801,6879,574,1499
41067030803,5116,174,843
41067030805,3783,252,709
41067030806,2747,203,743
41067030900,5147,438,1168
41067031003,7413,343,1640
41067031004,7211,305,1487
41067031005,5544,396,1496
41067031006,6605,500,1524
41067031100,2729,198,456
41067031200,7784,343,1938
41067031300,7497,482,1613
41067031402,3143,221,679
41067031403,4957,364,1203
41067031404,5213,267,1103
41067031504,6390,413,1332
41067031506,3911,217,991
41067031507,5979,357,1601
41067031508,8526,447,2499
41067031509,4218,352,1204
41067031511,3153,146,736
41067031512,7868,515,2302
41067031513,12595,621,4016
41067031514,6925,452,2027
41067031606,6850,690,2074
41067031609,11611,761,2359
41067031610,8355,333,1512
41067031611,7545,720,1495
41067031612,3997,382,1125
41067031613,7382,580,1987
41067031614,5549,378,1398
41067031615,5243,424,1309
41067031616,3545,226,500
41067031617,4826,347,709
41067031703,5076,503,1406
41067031704,9443,728,2497
41067031705,5121,454,1315
41067031706,5864,470,1626
41067031804,6387,264,1615
41067031805,7596,461,1944
41067031806,5983,433,1428
41067031807,3570,163,621
41067031812,5495,252,1062
41067031813,5737,371,1491
41067031814,4048,217,978
41067031815,6877,289,1551
41067031904,3078,264,672
41067031907,6190,269,1132
41067031908,7567,388,1840
41067031909,5204,252,1455
41067031910,8955,502,2349
41067031911,5439,494,1224
41067031912,4718,242,1077
41067032001,5091,295,855
41067032003,3955,297,846
41067032004,2203,85,470
41067032005,4642,370,1316
41067032103,10789,777,3444
41067032104,4876,330,1427
41067032107,2199,151,482
41067032108,4262,282,1031
41067032109,3137,154,947
41067032110,4096,122,650
41067032200,7716,774,2180
41067032300,6116,434,1751
41067032404,6766,384,1433
41067032406,8841,523,2288
41067032407,6030,502,1679
41067032408,8087,639,2250
41067032409,5060,734,1882
41067032410,4305,392,1481
41067032501,3591,234,799
41067032502,3032,253,660
41067032503,3920,215,1034
41067032603,7328,478,2082
41067032604,6380,621,1395
41067032606,6932,325,1746
41067032607,4205,100,316
41067032608,2438,164,499
41067032609,2455,174,638
41067032610,3031,234,838
41067032700,5149,256,1009
41067032800,1294,95,311
41067032901,6240,411,1656
41067032902,7667,531,2267
41067033000,5765,288,1116
41067033101,3004,233,708
41067033102,3514,185,765
41067033200,6978,445,1712
41067033301,5921,527,1782
41067033302,5482,299,1406
41067033400,2239,114,444
41067033500,4334,248,1135
41067033600,2270,83,412
